# epoch00,   epoch01,   epoch02,   epoch03,   epoch04,   epoch05,   epoch06,   epoch07,   epoch08,   epoch09,   epoch10,   epoch11,   epoch12,   epoch13,   epoch14,   epoch15,   epoch16,   epoch17,   epoch18,   epoch19,   epoch20,   epoch21,   epoch22,   epoch23,   epoch24,   epoch25,   epoch26,   epoch27,   epoch28,   epoch29,   epoch30,   epoch31,   epoch32,   epoch33,   epoch34,   epoch35,   epoch36,   epoch37,   epoch38,   epoch39,   epoch40,   epoch41,   epoch42,   epoch43,   epoch44,   epoch45,   epoch46,   epoch47,   epoch48,   epoch49
    10,    95,   100,     8,    66,    67,    56,    54,     0,    71,    22,    93,    59,     3,    43,    88,    99,    45,    18,    86,    41,    50,    38,    84,     4,    88,    76,    41,    91,    31,    26,    36,    25,    48,    86,    36,    74,     9,    57,    75,    94,    48,    56,     8,    59,    61,    20,    87,    15,    41
    11,    83,    72,    76,    92,    80,    99,    31,     6,    38,    77,    64,    69,    31,    98,    70,    55,    54,     2,    78,    21,    58,    94,    13,   100,    86,    90,    10,    44,   100,    57,     1,    43,    29,    47,    89,    77,    94,     4,    10,    46,    95,     5,    71,    53,    31,    54,    65,     4,    75
    12,     9,     2,    64,    52,    41,    50,    95,     3,    65,    55,    65,    83,    79,    63,    20,    60,    34,    28,    25,    66,    90,    33,    69,    37,     6,    98,    45,    55,    60,    79,    39,    89,    91,    55,    34,    26,    64,    55,    78,    12,    80,    86,    73,    26,    17,    38,    40,    57,    91
    13,    81,    69,    70,    98,    17,    15,    28,    75,    48,     2,    97,     3,    39,    16,    19,    64,    94,     3,    70,    94,    22,    19,    93,    89,    26,    15,    23,    78,     3,    38,    78,    19,    80,    62,    51,    78,    81,     3,    17,    71,    75,    28,     2,    99,     1,    11,    78,    95,    33
    14,    38,    76,    59,     2,    31,    88,    17,    65,    85,    82,    35,    62,    71,    83,    99,    23,    95,    40,    38,    28,    46,    78,    72,    25,    82,    42,    12,    17,    45,    66,    56,    17,    11,   100,    40,    85,    48,    64,    30,     1,    28,    69,    63,    44,    42,    21,    10,    13,    95
    15,     7,    39,    26,     8,    63,    35,    85,    25,    84,    95,     0,    49,    73,    33,    60,    84,     1,    90,     7,    11,    71,    73,     0,     2,    60,    48,     5,    62,    48,    29,    58,    14,    21,    88,    65,    42,    76,    20,    22,    29,    47,    14,     5,    19,    68,    75,    30,    17,   100
    16,    15,     4,    47,    93,    43,    34,     1,    57,    67,    69,     8,    89,    70,    20,    97,    69,    10,     5,    41,    16,    21,    54,     6,    28,    15,    44,    25,    14,    77,    60,    38,    80,    30,    18,    50,    73,    35,    81,    96,    47,    87,    81,    12,    21,    70,    79,    53,    38,    45
    17,    66,    70,    79,    69,    96,    26,    92,    81,    34,    84,    79,    96,     1,    75,    93,     5,    69,    51,    62,    60,    94,    43,    85,    64,    23,    37,    77,    25,    64,    22,    17,    95,     1,    19,    86,    12,    25,    17,    37,    15,    90,    47,     1,    68,    41,    95,    12,    46,     5
    18,    17,    60,    41,    44,     8,    85,    72,    16,    15,    58,    99,    28,    46,    72,    98,     2,    63,    10,    39,    76,    29,    49,     7,    35,    68,    65,    34,     2,     5,    76,    66,    61,    14,    31,     6,    47,    38,    13,    31,    97,    37,    83,    75,    34,    11,    99,    44,    89,    24
    19,    90,    18,    48,    30,     6,    66,    62,    50,    79,    70,    84,     7,    66,     8,    85,    21,    88,    31,    33,     3,     5,    18,    65,    54,    20,    77,    91,    59,    67,    42,    44,    40,    70,    91,    57,    61,   100,    86,    24,    77,    85,     2,    32,    45,    84,     1,    42,   100,    16
    20,    30,    27,    56,     9,    24,     5,    59,    59,    11,    40,    57,    92,    11,    58,    11,    67,    57,    94,    93,    83,    31,    98,    94,    73,    85,    57,    79,    85,    92,    97,    82,     9,     4,    50,    24,    10,    10,    73,    25,    69,    32,    77,    53,    84,   100,    48,     7,    65,    89
    21,     8,     9,    21,     7,    11,    53,     6,    88,    91,    14,    88,    64,    49,    27,    56,    48,    61,    88,    59,    70,    72,    85,    78,    55,    53,    45,     4,    21,     4,     4,    71,    96,    46,    10,    11,    95,    31,    25,    29,    93,    89,    68,    64,    71,    32,    77,    49,    84,    38
    22,    49,    49,    92,    28,    59,     3,    50,    29,    94,    91,    33,    30,    98,     7,    15,    40,    42,    39,    21,    49,    98,    61,    48,    80,    78,    21,    38,    34,     8,    56,    18,    16,    76,    92,    23,    51,    34,    95,    86,    79,    14,    72,    46,    49,    50,    19,    31,    86,    48
    23,    36,    35,    38,    68,    44,    20,    74,    43,    80,    79,    44,    61,    25,    66,    77,    83,    46,    45,    99,    99,    34,    20,    45,    18,    96,    53,    21,     0,    46,    71,    80,    32,    17,    30,    56,    31,    55,    15,    68,    82,     9,    48,    87,     4,    43,    65,    27,    91,    66
    24,    37,     7,     5,   100,    61,    21,    38,    40,    52,    65,    85,    24,    93,    64,    34,    89,    48,    14,    52,    89,    48,    62,    35,    59,    44,    89,    39,    76,    27,    99,    98,    75,    13,    22,    90,    83,    85,    75,    81,    31,    21,    23,    56,    23,    78,     7,     5,    56,    67
    25,    43,    15,    71,    55,    89,    97,    16,    12,    32,     4,    77,    78,    26,    68,    94,    31,    67,    82,    61,    88,    24,     8,    22,     0,    21,    63,    61,     3,    29,    88,    15,    48,    18,    53,    26,    15,    11,    54,    36,    98,    10,    85,     0,    35,    38,    27,    13,    10,    59
    26,    44,    40,     7,    53,   100,    42,    75,    27,    37,    59,    26,    39,    40,     5,    48,    12,    19,    91,    28,    34,     8,    55,    87,    90,    75,    93,    50,    79,    39,    90,    24,    53,    58,    75,    69,    57,    91,    83,    26,    30,    67,    19,    15,    90,    93,    45,     4,    72,    35
    27,    25,    44,    39,    31,    76,   100,    78,     2,    12,    26,    96,     8,     7,    56,    37,    34,    70,     4,    51,    64,    36,    32,    10,    33,    19,    86,    75,    49,    56,    73,    47,    76,    59,    23,    75,    69,    46,     5,    35,    10,    51,    25,    10,    32,    66,     4,    41,    48,    27
    28,    72,    22,    99,     0,    56,    45,    39,    77,    20,    34,     9,    51,    28,    32,    25,    13,    93,    53,    89,    39,    73,    28,    11,    22,    55,    55,    29,    87,     0,    94,    21,    83,    25,    63,    17,    41,    16,    77,    39,    84,     4,     0,    50,    79,    90,    40,     1,    11,    23
    29,    82,    96,    98,    81,    75,    33,    99,    38,    83,    19,    43,    34,    90,     2,    74,    66,    41,    16,    95,    81,    82,    45,    21,    96,    25,     4,    37,    39,    15,    64,    60,    50,     6,    72,    59,    68,    18,   100,    56,    23,    31,    54,    47,    40,    97,    41,    66,    67,    98
    30,    47,    23,    34,     6,    15,    72,    35,    32,    96,    71,    37,    88,    68,    80,     6,    38,    53,    27,    31,    13,    12,    58,    51,    31,    94,    17,    52,    37,    38,    55,    62,    20,    28,    11,    63,    27,    67,    26,    98,    87,     2,    80,    39,     9,    53,    50,    99,    40,     2
    31,    94,    12,    75,    15,    42,    59,    46,     9,    31,    46,    52,    63,    80,    60,    92,    54,    83,    75,    11,    85,    88,    21,    66,    43,    97,    87,    44,    90,    32,    95,    53,    59,     9,    27,    80,    23,    32,    34,    60,    40,    56,    33,    91,    73,    94,    64,    43,    71,     8
    32,    33,    95,    42,    47,    18,     1,    47,    73,    26,    48,    81,    94,    23,     3,    71,    57,    58,    46,    13,    98,    84,    93,     1,    12,    38,    23,    99,    10,    75,     0,    50,    12,    99,    46,     0,    63,    56,    33,    71,    22,    64,    21,    90,    89,    86,     8,    47,    45,    56
    33,    85,    66,    74,    54,    21,    65,    77,    23,    47,    90,    27,     2,    19,    55,    10,    71,    82,    89,    32,    59,    49,    23,    26,    58,    36,    61,    87,    67,    34,    32,    85,    70,     5,    99,    41,    89,    66,    21,    38,    62,     7,    74,   100,    58,    60,    58,    18,    54,     6
    34,    98,    17,    62,    87,    87,    73,     9,    30,    69,    25,    51,     0,    65,    14,    43,    70,    60,    24,    24,    96,    42,    53,    56,    94,    49,    22,    42,     6,    89,    69,    65,    86,    49,    94,    22,    70,    26,    61,    32,     4,    98,    58,    86,     6,    85,    76,    89,     3,    39
    35,    55,     8,    93,    48,    48,    86,    12,    72,    90,    89,    80,    12,    67,    29,    42,    45,    59,    34,    37,    78,    51,    79,    34,    78,     3,     7,    76,     9,    37,     1,    32,    34,    37,    14,    13,    53,    68,    39,    34,    35,    78,    97,    97,    62,    47,     3,    67,    94,    50
    36,    20,    25,     9,    32,    10,    12,    80,    79,    60,     7,    72,    17,    53,    11,    46,    53,    14,     8,    97,    29,    10,    41,    91,    72,    31,    79,    16,    86,    25,    81,    19,    51,    90,    60,    47,    24,    36,     2,    69,    52,    43,     1,    89,    12,    48,    69,   100,    73,     1
    37,     2,    37,    97,    72,    94,    44,    76,    71,    42,    86,    20,    79,   100,    36,    16,    39,    66,    41,    46,    68,     4,    69,    61,    98,    45,    26,   100,    66,    33,    70,    42,    31,    68,    59,     9,    30,    13,    76,    45,    48,    81,    43,    80,    41,    27,    56,    50,    93,    94
    38,    80,    58,    94,    46,     5,    30,    29,    47,    55,     8,     4,    82,     5,    78,    50,    41,    39,    93,    88,    14,    67,    77,    15,    51,    91,    19,    48,    95,    10,    46,    69,     1,    55,    74,    66,    29,    17,    36,    70,    96,    13,    39,    42,    39,    10,    34,    20,    60,    57
    39,    28,    11,    22,     5,    46,    55,    11,    82,    35,    13,    68,     9,    81,    45,    38,    44,    20,    70,    72,   100,    28,    36,    38,     9,    66,    31,     9,    81,    83,     3,    25,   100,    32,    93,     3,    58,    40,    44,    51,    81,    49,    65,    14,    22,    36,    87,     6,     9,    18
    40,     6,    38,    89,    91,    23,    84,    36,    74,    58,    45,    76,    19,    75,    79,    26,    32,    11,    47,     4,    69,     7,    48,   100,    30,    28,    75,    85,    35,    35,    48,    31,    11,    47,    48,     4,    17,    23,    74,    42,    68,    77,    96,     9,     0,     0,    80,    59,    85,    36
    41,    11,    36,    44,    45,    50,    63,    14,    95,    45,    30,    56,    10,    60,    82,    47,    24,     2,     9,    40,    62,    19,    17,    55,    23,    84,    41,    80,    29,    21,     6,     0,    28,     7,     7,    95,    37,    72,    70,    94,    36,    12,    13,    70,    48,    57,    23,    93,    88,    97
    42,    70,    14,    78,    22,    91,    31,    57,    19,     6,    38,    17,    33,    50,    76,    51,    43,    72,    59,    20,    37,    75,     1,    99,    66,    12,    12,    96,    48,     9,    13,    88,    87,    54,    57,    37,    55,    41,    51,    87,    88,    27,    70,    81,    28,    46,    63,    83,    47,    93
    43,    87,    54,    31,    88,    29,    36,    64,    63,    27,    51,    75,     4,    82,    35,    61,    30,    49,    66,    81,    73,    37,    42,    19,    53,    92,    35,    26,    23,    19,    36,    94,    35,    86,    84,    21,    93,     8,    84,    88,    76,     3,    91,    84,    30,     6,    52,    84,    78,    60
    44,    64,    97,    83,    40,    88,    32,    81,    39,     5,    76,    24,    11,    54,    91,    22,    27,    43,    72,    67,     7,    64,    12,    37,    70,    35,    80,    62,     8,    88,    18,    99,    47,    66,    64,    70,    43,    73,    58,    15,    70,    20,    37,    37,    18,    13,     0,    77,     6,    28
    45,    79,    59,    15,    64,    28,    64,    90,     5,    56,    97,     5,    84,     8,    44,    54,    98,    91,    60,     1,    57,    74,     6,    40,    20,    33,     0,    64,    64,    69,    11,    35,    99,   100,    96,    43,    28,    33,    94,    54,    51,    96,    90,    49,    86,    44,    78,    15,    87,    81
    46,    45,     5,    28,    96,    37,    79,    55,    11,     3,    29,     3,    73,    33,    99,    17,    90,    56,    67,    36,    31,    68,    63,    41,    99,    16,    14,    30,    96,     6,    49,    64,    30,    38,    45,    91,    25,    65,    93,    79,    37,    17,    62,    44,     7,    18,    71,    68,    42,    58
    47,    93,    45,    85,    17,    55,    77,    25,    49,    88,    54,    63,    42,    20,    10,    29,    76,    32,    76,    18,    75,    79,    97,    75,    39,    30,     9,     8,    12,    40,    33,    30,    42,    31,    21,    28,    96,    19,    63,     5,    44,    54,    34,     7,   100,    73,    36,    22,    32,    46
    48,    75,    51,    24,    77,    39,    40,    24,    93,    57,    49,    42,    41,    35,    42,    36,    46,    87,    44,    73,     8,    56,    56,    17,    32,    46,    68,    35,    84,    84,    85,   100,    93,    53,    70,    42,    46,    47,    37,    66,     5,    30,    79,    11,    51,    59,    93,    29,    81,    19
    49,    58,    91,     1,    67,    14,    92,    42,    78,    29,    63,    49,    44,    12,    93,    76,    92,    73,     0,     5,    67,    61,    22,    33,    49,    90,    11,    60,    43,    66,    37,    51,    81,    19,    52,    18,    33,    62,    48,    83,    33,    52,     6,    48,    77,    58,    28,    81,    77,    29
    50,    48,    29,    17,    21,    69,    62,    34,   100,    19,    37,    61,    38,    72,    26,    83,   100,    99,    73,    66,    61,    55,    60,    67,    11,    34,    78,    74,     5,     7,    25,    43,     3,    40,    28,    33,    66,    75,    31,    16,    78,    61,    38,    41,    25,    19,     2,    82,    41,    10
    51,     5,    42,    51,    99,    78,    91,    69,    31,    28,    31,    19,    55,    96,    88,    72,    86,    65,    79,    12,    36,     0,    70,    83,    34,     2,    94,    47,    74,    72,    58,    48,    55,    81,    98,    71,    72,    45,    46,    12,    58,    92,    16,    16,    98,    51,    61,    52,    12,    40
    52,    97,    89,     6,    70,     1,    27,    52,    86,    66,    50,    15,    76,    78,    52,    31,    81,    13,    32,    98,    33,    54,    71,    31,     8,    41,    29,    63,    42,    50,    67,     5,    54,     3,    39,    62,    75,     0,    23,    95,    38,    42,    61,    26,    72,    87,    84,    85,    64,    32
    53,    14,    83,    11,    76,    51,    67,     2,    69,    30,     3,    14,    91,    42,    71,    49,     6,    77,    37,    77,    38,    76,     0,    50,    16,    72,    72,    90,    31,    20,    27,     9,    78,     8,    25,    54,    21,    15,    49,    91,    57,    34,    46,    31,    31,    49,    70,    19,    52,    84
    54,    19,    67,    84,    61,    49,    52,    73,    56,    49,    39,    31,    70,    83,    47,    86,     1,    62,    55,    69,    93,    66,    34,    46,    71,    47,    43,    49,    99,    17,    45,    67,    69,    35,     9,    16,     0,    71,    45,    62,    18,    23,    67,    99,    63,    23,    33,    92,    18,    70
    55,    56,    98,     3,    10,    77,    95,     0,    70,    50,    75,    45,    99,    58,    94,    82,    58,    30,    95,    96,    91,    44,    67,    54,    17,    13,    70,    66,    50,    96,    77,    61,    27,    93,    12,    32,    87,    93,    22,    53,    86,    74,    32,    68,    92,    28,    94,    28,    92,    62
    56,    84,    21,     2,    79,    25,    58,    60,    55,    95,    21,    10,    22,    30,    92,    41,    96,    78,    68,    71,    46,    63,    37,    27,    36,    70,    62,    43,    38,    13,    63,    52,    65,    51,    66,    55,    56,    27,    78,    19,    24,    11,    35,    82,     3,    82,    59,    63,    49,    49
    57,    39,    75,    30,    25,    70,    13,    96,    89,     2,    73,    39,    25,    99,    65,    95,    22,    27,    80,    43,     6,    95,    59,    47,    48,    89,    49,    81,    97,    18,    10,    70,    90,    39,    81,    76,    80,    14,    62,     4,    72,     1,    60,    85,    76,    92,     9,     0,    44,    74
    58,    76,    74,    58,    90,    58,     9,    19,    33,    74,    18,    89,    16,    45,    41,    21,     7,    74,    30,    91,    40,     9,    31,    92,    91,    48,    69,    19,    68,    82,    24,    91,    88,    45,    87,    46,    92,    84,    66,     3,   100,    60,    52,    19,    88,    74,    37,    58,    62,    68
    59,    22,    85,    27,    26,     7,     8,    13,    94,    14,    92,    16,    46,    36,    22,    18,    16,     3,    97,    17,    23,     3,    90,    89,    74,    62,    16,    65,    27,    90,    83,    11,    37,    23,    36,    82,    76,    50,    69,    76,    73,    44,    11,    93,    15,    16,    74,    24,    19,    82
    60,    21,    53,    68,    83,    71,    71,    87,    62,    76,    20,    18,    65,    15,    70,    27,    14,    55,    36,     3,    82,    17,    47,    36,    41,    77,    60,    18,    47,    36,    98,    55,     0,    43,     8,    97,    40,    97,    82,    28,     9,     5,    63,    33,    16,    34,    30,    94,    23,    15
    61,    18,    84,    35,    62,    72,    10,    56,     8,    40,     9,    98,    15,    44,    77,    12,    33,    40,   100,    64,    18,    16,    26,    96,    82,    65,    39,    94,    70,    23,    41,    40,    23,    98,    49,    52,     1,    49,    50,    33,    89,    22,     7,    66,    70,    37,    53,    96,    79,    76
    62,    73,    56,    32,    57,    62,    61,    79,    36,    41,    74,    46,    87,    91,    34,     1,    73,    97,     1,   100,    97,     6,    88,    59,    84,    24,    67,    93,     1,     2,     8,    20,    62,    27,    40,    77,    36,    70,    30,     6,    16,     6,    51,    45,    54,    15,    16,    45,    43,    26
    63,    16,    80,    25,    89,    13,    28,    83,    67,    63,    62,    53,    85,    62,    24,    78,    37,     4,    20,    56,    63,    32,    50,    76,    38,    76,    33,    57,    54,    80,    39,    23,     5,    78,    41,    31,     8,    77,    53,   100,    26,    63,    73,    35,    24,    79,    66,    21,    83,    52
    64,    60,     6,    81,    50,    27,    74,     7,    41,    44,    80,    66,    50,    56,    17,     5,     8,    51,    74,    48,     2,    47,     2,    88,    21,    43,    96,    95,    30,    24,    86,    37,     2,    79,    83,    53,    82,    98,    87,    21,    41,    65,    95,    61,    38,    96,    42,    75,     5,    71
    65,    26,    93,    82,    18,    40,     0,    53,    17,     0,    27,    47,    68,    85,    40,     3,    42,    68,    57,    50,    10,    15,    84,    74,    57,    42,    28,    82,    98,    73,   100,    10,    36,    64,     6,    94,    64,    63,     7,    48,    63,   100,    53,    51,    10,    77,    18,    98,    27,    47
    66,    96,    52,    23,    60,    22,    96,    49,     7,     4,    47,    29,    71,    27,    62,     7,    50,    71,    42,    83,    84,    52,    25,    49,    62,    27,    51,    15,    18,    87,    92,     3,    73,    50,     4,    99,     4,    29,     1,    97,    27,    46,    40,    20,    17,    75,    43,    71,    29,     0
    67,    68,    43,    37,    84,    35,    39,    33,    87,    86,    60,    95,    56,    43,    23,    62,    52,    86,    83,    23,    90,     2,    51,    24,    40,     4,    88,     7,    61,    30,    72,    87,    29,    95,    43,    27,    62,    80,     9,    92,    19,    35,    94,    40,    87,    76,   100,    55,    70,    30
    68,    24,    34,    88,    71,    73,    19,    23,    51,    68,     6,    54,    93,    89,     9,    87,    28,     9,    48,    55,    80,    97,    82,    44,    63,    95,    85,    72,    73,    76,    59,    45,    58,    94,    76,    58,    79,     2,    47,    67,     3,    59,    93,    18,     5,    52,    17,    48,    66,    92
    69,    61,    94,    91,     1,     9,     4,    10,    15,    98,    12,    94,    29,    41,     6,    53,    85,    31,    23,    44,    22,    59,    16,    71,    42,    22,     8,    33,    83,    12,    23,    95,    24,    12,    82,    74,    67,    54,    10,    99,    11,    86,    55,    28,    69,     5,    26,    32,    31,     7
    70,    50,    32,    80,    38,    74,    18,    70,     1,    81,    44,    67,    14,    13,    46,    91,    95,    28,     7,    19,    19,    35,    76,    64,    14,    79,   100,    83,    52,    99,     2,    83,     7,    62,    13,    19,    35,     7,     6,    47,    61,    57,    22,    23,    50,    35,    85,     8,    99,    55
    71,    78,    71,    36,    36,     2,    78,    26,    21,    78,    41,   100,    80,    77,    37,     8,     0,    96,    64,    27,    25,    99,     7,     5,     6,    17,    58,    13,    80,     1,    51,    13,    13,    88,    37,    20,     5,     4,    79,    74,    60,    73,     8,    57,    47,    72,    98,    95,    51,    86
    72,    63,    28,    43,    63,     3,    24,    20,    98,    92,     0,     6,    31,    17,    90,    75,    49,    37,    62,     2,    47,    25,    57,    98,    88,    32,     2,    88,    82,    43,    15,    68,    39,    41,    95,    81,     9,    21,    88,    77,     7,    33,     3,    74,    74,    20,    67,    80,    61,    83
    73,     1,    61,    10,    19,    60,    46,    65,    10,    59,    32,    90,    90,     4,    57,    64,    29,    90,    21,    80,    79,    27,    80,     8,    60,    29,    59,    68,    51,    22,    61,    89,    77,    71,    15,    96,    59,    57,    65,    49,    54,    26,   100,    59,    42,    99,    25,    37,    34,    42
    74,    23,    79,    55,    78,    84,    60,    63,    13,    77,    15,    22,    23,    69,    54,    68,     3,     8,    33,    84,    86,    96,    35,    57,    45,     1,    34,     6,    13,    41,    96,    84,    52,    73,    80,    25,    71,    79,     0,     9,    13,    91,    57,    65,    37,    29,    47,    36,    96,    90
    75,    91,    57,    20,    94,    92,    98,    44,    66,    17,    85,    59,     6,    63,     0,    45,    18,    79,    56,    90,    48,     1,   100,    73,    93,    14,    25,    46,    46,    95,    89,    86,    82,    56,    78,    35,    94,    92,    85,    23,    74,    25,    42,    77,    52,    33,    29,    74,    55,    85
    76,    46,    10,    86,    97,    38,    54,    98,    85,    22,   100,    38,    77,     9,    38,    67,    87,    22,    84,    57,    58,    30,    52,    81,    87,    69,    47,    54,    71,    68,    44,    97,    26,    57,    97,    44,    50,    24,    24,    40,    59,    71,    84,    62,    60,    98,    24,    70,    25,     9
    77,    92,    46,    19,    86,     0,    23,    15,    84,    93,    78,    21,    20,    76,    89,    33,    36,    64,    86,    68,    77,    23,    39,    32,    85,    59,    40,    73,    28,    58,    20,    92,    45,    69,    32,    73,    54,    74,    32,    73,    91,    45,    87,    78,    75,    62,    92,    97,     2,    77
    78,    10,    86,    53,    29,    99,    70,    40,    22,    36,    42,     1,    47,    64,    30,    96,    80,     5,    12,    60,     5,    92,    15,     4,    69,    57,    13,    11,    72,    63,    47,     7,     8,    87,     1,    30,    22,    99,    27,     2,    49,    50,    20,    98,    13,     8,    96,    64,    14,    69
    79,    27,    31,    46,    75,    34,    48,    21,    20,     7,    72,    28,    35,    48,    49,    89,    19,    75,    71,    49,    20,    53,    27,    97,    44,    74,    71,    53,    75,    11,    74,    79,    71,    74,    20,    64,    52,    69,    18,    93,    21,    88,    66,    55,    46,    95,    32,    54,    90,    43
    80,    65,     1,    45,    56,    98,    57,   100,    54,     1,    64,    78,    40,    97,    39,    69,    56,   100,    26,     0,    92,    62,    68,    58,    46,    73,    56,    24,    11,    70,    28,    96,    46,    16,    54,    38,    32,    28,    16,    52,     0,     0,    92,    29,    61,    88,    72,    60,     0,    44
    81,    89,    65,    29,    16,    65,    80,    94,    34,    23,    96,    69,    13,    52,    59,    80,    77,     7,    38,    30,     4,    81,    74,    12,     7,     8,    10,     3,    60,    71,    82,     2,    67,    60,    26,    79,    20,     1,    71,    80,    39,    62,    10,    58,     2,    45,    82,    26,    59,     4
    82,    67,    90,    18,     4,    82,    94,    91,    46,    18,    33,    71,    54,    84,    50,    58,     9,    33,    50,    79,    74,    86,    29,    60,    67,    81,    83,     1,    32,    14,    43,     4,    63,    89,    90,    15,   100,    60,    43,    84,    65,    76,    76,    54,    95,    80,    49,     3,    53,    21
    83,    59,    63,    12,    39,    19,    43,    41,     4,    70,    94,    50,    98,    86,    61,   100,    15,    36,    81,    63,    30,    87,     3,    62,    75,     5,    84,    67,    22,    78,    80,    29,     6,    82,    17,    48,    39,    59,    14,     8,    95,    70,    45,     6,    85,     9,    15,    11,    74,    78
    84,    57,     0,    14,     3,    90,    38,    93,    60,    46,    43,    83,    21,    14,    86,    13,    82,    50,    58,    94,    54,    60,    30,    52,     3,    39,    38,    32,    89,    74,     9,    75,    21,    65,    79,    78,    19,    83,    12,    55,    66,    18,    82,    21,    20,    30,    13,    25,    68,    51
    85,    41,    41,    60,    59,    97,    75,    86,    26,    53,    24,     7,    48,    92,    81,    63,    78,    80,    92,    47,    95,    83,    99,    79,    19,    64,    92,    84,    88,    61,     7,    12,    74,    44,    29,    10,     2,    61,    67,    65,    32,    39,    49,    83,     8,    54,    89,    14,     8,    63
    86,    32,    26,    65,    43,    26,    29,    82,    90,    82,    28,    32,     5,    88,    51,    44,    63,    29,    54,    76,    71,    14,    44,    63,    92,   100,    74,     0,    45,    86,    78,    14,    60,    92,    69,     5,    49,    43,    29,    58,    90,    84,    18,    38,    96,    83,    57,    79,    76,    79
    87,    35,    24,    49,    41,    53,    51,     3,    83,    62,     5,    73,     1,    74,    15,    84,    61,     6,    43,     6,    53,    40,    75,    23,    68,    93,    99,    14,    36,    47,    14,    33,    15,    36,    51,    83,    44,     5,    91,    61,     8,    53,    29,    76,    27,    89,    91,     9,    21,    34
    88,    52,    73,    16,    58,    30,    89,     5,    92,    72,    56,    36,    74,    59,    67,     4,    65,    98,    87,     8,    87,    70,    11,    42,     5,    98,    36,    31,    24,    16,    84,    81,    49,    83,    44,     7,    18,    53,    98,    18,    28,    41,     9,    25,    83,    14,    39,    73,    35,    13
