# epoch00,   epoch01,   epoch02,   epoch03,   epoch04,   epoch05,   epoch06,   epoch07,   epoch08,   epoch09,   epoch10,   epoch11,   epoch12,   epoch13,   epoch14,   epoch15,   epoch16,   epoch17,   epoch18,   epoch19,   epoch20,   epoch21,   epoch22,   epoch23,   epoch24,   epoch25,   epoch26,   epoch27,   epoch28,   epoch29,   epoch30,   epoch31,   epoch32,   epoch33,   epoch34,   epoch35,   epoch36,   epoch37,   epoch38,   epoch39,   epoch40,   epoch41,   epoch42,   epoch43,   epoch44,   epoch45,   epoch46,   epoch47,   epoch48,   epoch49
    24,  1748,  2792,  3132,  2112,  1821,  3534,  2666,  3334,  3186,  1272,  1760,   968,  1051,   349,  4099,  1436,  3738,   830,  3965,  1978,   429,  2934,  3531,  2598,  1004,   317,   689,  2411,  1197,  1627,  1441,  1653,   912,  1087,  3244,   148,  2632,  3017,  3572,  3909,  2087,  2657,  3580,   723,   786,  2234,    71,  3865,  4042
    25,  1231,  2849,  2102,  2049,  2596,  3127,  3355,  2541,  3471,  3252,  1038,    31,  1889,  2159,   384,  4299,   594,  2590,  2930,   208,   771,   157,  3319,  4106,  1106,  4257,  3337,  3624,  3409,  1436,  3826,   302,   485,   235,  2235,  1830,   792,  1341,  1371,  3195,   554,   318,  3354,  3475,  1097,  3035,  1175,  2955,  2628
    26,   739,  2903,  4098,  1500,  2928,  1356,  4012,  3455,  2763,  3093,   125,  1135,   750,  1929,  1519,  2041,  3102,  3097,   460,  2897,  1451,  1602,    54,  1125,   327,   387,   380,  3208,  3217,   922,  4181,  3419,  3014,   176,  2952,   310,  1047,  3461,  3022,  1144,  3060,  1607,   888,   895,  3367,   754,  1617,  3159,  4129
    27,  2617,  2180,  2441,  4046,    82,  3112,  3088,  1086,  2494,  2344,  1784,   170,  1626,   192,  3143,  3557,   535,  1722,  3840,  1130,  3079,  2853,  4033,  1127,  2709,  1016,   723,  3686,  1281,  3854,   458,   947,  4187,  3833,   668,  1180,   279,  1405,  3800,  3638,   974,  3007,  3951,  3204,  3508,  3362,  1881,  2631,    56
    28,   361,  1648,   629,  1566,  1028,  2800,  2546,  2008,  4277,   272,  2550,  3990,  4164,  1506,  1896,  2855,   916,  1088,  1638,   535,  1510,    57,  1120,  3557,   880,  1000,   221,   115,  4099,   869,  3119,   736,  3743,  3364,  2114,   866,  3220,  3673,  1439,  2836,  3532,  4210,  4147,  2220,  2502,   723,  1663,  3626,   497
    29,  4183,   219,   837,  1294,  3830,  1384,  1009,  1924,  3166,   222,  2290,  2216,  3089,  1209,  4231,  2850,  2465,    34,  3259,  1406,  2858,  2229,   298,   558,  1553,  2050,  3574,  1701,  2140,  2493,  2312,  3746,   691,  2167,  2586,   253,  1507,  3161,   242,   507,  1570,  4103,   123,   358,  1148,  3922,  1219,  3392,  3896
    30,  1183,  3450,   785,  2466,   230,   603,  1870,  2740,  3809,  2658,  1452,  2557,   305,   741,  1555,   647,  2878,   190,  4044,  3134,  2961,   918,  1169,  1097,  2853,   485,  4066,  4044,  2045,  2535,   134,   872,  3405,  1670,  4081,  3985,  3371,  2892,   174,  4079,  3560,  3434,  3311,  4010,   319,  1646,  1650,   866,    89
    31,  3189,  2731,   184,  1190,  3006,  1080,  1698,  2091,  3531,  3753,  2564,  2889,  1935,  1426,  2694,  4155,  3210,  3773,   181,  3884,   881,  3282,   105,   219,  1422,  1509,  1669,  4008,  2439,  2369,   555,  2703,   878,  1224,   626,  4217,   211,  2309,   808,  2508,  3898,  4172,   928,  2957,  2221,   235,   481,  3156,   544
    32,  3089,  3028,  3770,  2677,    92,    30,  3705,  2597,  1014,   673,    54,  1047,  3781,  1749,  3295,  3912,  2778,  3089,    55,  1268,  2061,  4144,  3693,  2184,  1416,  2786,  4257,  3275,  1671,  1974,  3100,  3541,  4115,  2812,  2137,   912,  1094,  3766,  3878,  1178,  1249,  1877,   251,  1191,  3276,  2488,  1646,   557,  1521
    33,  3040,  1357,  3923,  2808,  4252,  2670,  2918,   371,  2273,  1769,  2980,   554,  1863,  2187,   943,  4110,  1282,  3032,  1458,  2694,   228,  2917,    84,  1824,  4083,  1370,  2827,  2025,  3319,  3278,  1803,  1467,  1802,   332,  4086,  4124,  2275,  2135,  2082,  2577,  1786,   146,   733,  4289,  1606,  3841,  2811,   402,  2035
    34,  2449,  2578,  2587,   458,  3258,  4135,  2866,  3210,  3610,   708,   845,   335,  4040,   838,  2950,  3856,  2845,  3571,  3378,  3484,  3740,  1845,  2070,   852,   772,    28,  3654,   268,   523,  1972,   561,  1783,  2186,  1741,  3786,   793,  2326,  2990,  2267,  3423,  1656,    15,  3847,  2035,  2524,   362,  3062,  4206,  1358
    35,  2656,  1150,  3356,   188,  1884,  3963,  2956,  1374,  2801,  3804,  3381,  1519,   986,    96,  2145,  2189,  3288,  1160,  3278,  3085,  1209,   937,  1271,  3925,  4122,  2573,  3359,  1069,  1862,  3523,  2788,  2072,  2651,  3940,  1838,  2353,  2025,  2160,  1713,  1414,  3486,  3157,  2174,  1127,  1475,  1300,  2003,   632,  3671
    36,  4166,  2509,  3346,  1663,  2506,    15,  4177,  1784,  2257,  3440,  2307,  3711,    45,  3451,  3639,   155,   214,  2409,   223,   922,   753,  1373,  3234,  3204,  1333,  3963,    27,  1021,  2454,   874,   993,  1020,  2586,  1078,  2642,  3422,  3203,  3105,  2725,  3069,  4054,   213,  2486,  2431,  2581,  3513,  2484,  4231,  1497
    37,  2230,  1720,  4264,  1489,   695,  3817,  3152,  3860,  2141,  3458,   299,  3257,  2955,  2393,  4301,  2949,  3702,  3806,  1913,  1905,  1302,  4103,  2741,  2975,  1344,  2522,  1033,  1362,   470,   856,  3347,  3272,   364,   854,  2664,  4204,  2524,  2386,  1228,   509,  3084,  2849,   701,  2637,  3196,   770,  1979,  1703,  2254
    38,   489,   850,  2783,  3386,   178,  2829,  2644,   607,  1253,  1858,  1278,  2369,  1231,    59,  1566,  1315,  2931,  1039,  2022,   303,  3502,  2279,   718,  2617,  1828,  2927,  3742,  3461,  1299,  2311,     9,  2589,  1011,  3136,  3148,  2196,   449,   216,  2609,  1098,  4169,  3536,  3599,  1927,  1008,  2774,  3933,  2306,  3962
    39,  1535,    89,  1902,  1680,  2139,  1360,  2374,  1327,   608,  2336,  2014,  1510,   274,  3094,   620,  3792,  1033,  2561,  1590,   715,   196,  3403,  1965,   612,  4070,   781,  3468,   272,  3020,  3362,  1291,  4301,  2333,  1094,  1149,  3987,  4270,  1323,  3985,  1029,  4109,   190,  1917,  3688,   846,   504,  4244,   886,  2743
    40,  2817,  3060,  3634,  2304,  2534,  2893,  1044,  1918,  2790,  3596,   277,  2031,  1232,  1421,  2227,  3390,  2061,  4153,   190,  1533,  1092,  1443,  1976,  3990,  1021,  1708,  3469,  1118,   486,  2870,   998,   833,  1763,  2925,  2438,  4137,  1216,  3063,   211,   757,  2520,  2967,  2177,   866,  1587,  1499,  2614,  2762,   175
    41,  1068,  2312,  3073,  3623,  1699,  3047,  1929,   179,  1067,  1003,  1931,  1173,  1243,   628,  3472,   900,  4299,   503,  1753,  1375,  2569,  2362,  2969,  3971,  3036,  2345,  1254,  1837,  1242,    98,  3692,  1613,  1630,   497,  1337,  2698,  2591,   766,   526,  1682,  1082,  3934,  1591,  1415,  4052,  1683,  2323,   690,  3746
    42,    83,  3241,  3778,  1825,  4279,  2074,   451,  2073,  1652,  2137,  1154,  2355,  1214,  2867,  3058,   726,  4176,  2054,  2340,  2737,  2307,   921,  2516,  3574,    55,  1876,  1444,  3896,  3180,  2906,  3785,  1553,  3161,  3803,  2353,   662,  3896,  1693,  1562,  2419,   928,   584,   330,  3438,   934,  2662,  1254,     1,  2418
    43,  2994,  2591,  3030,  1303,  1286,  1586,  1660,  4097,  1823,  2786,  1719,  1202,  2432,  1034,  2405,  3962,  3234,  1735,  3454,  2049,  3114,   448,   178,  3056,  4120,  2337,  3948,  1436,  3174,  3787,  3368,   590,  3686,  2404,  1013,  2663,   855,   461,   270,   104,   787,  1931,  3744,  2457,   987,  3527,  2245,   618,  2861
    44,  3135,  3601,  1000,   831,  3502,  2127,   576,   958,  4108,  2552,  4108,   160,   583,  3168,    34,  1058,   660,  1640,  1820,  2417,  1277,   501,  3766,  2854,   106,  2096,  3200,  3160,  1943,  2004,   209,  1635,   343,  3428,   186,  2900,  3297,  2940,  3037,  2559,  4135,  4247,  3020,  1690,   705,  3022,  2204,  1177,  2419
    45,  2397,   864,  4127,  2835,  2633,  1341,  3417,  4050,  3239,  2861,  3951,  2318,  1258,  3587,   750,   126,  3533,   880,  2134,  3545,  3651,  2948,  3257,  2516,  2632,  3421,  1292,  2040,   876,    62,  2676,  1186,  1974,  1088,   464,   679,   287,  2716,  3536,  2928,  2945,   843,  2914,   596,  3919,   678,  1710,  1781,  2281
    46,  2721,  2723,  2144,  2469,  2023,   739,   566,  2381,  1594,  3914,  1457,  3855,  2306,  3507,   344,  4258,  3967,  3158,  1121,   473,  3071,  1035,  3895,  2327,  1853,  2124,   268,  4281,  3629,  2153,  3409,  3855,  2033,   417,  3827,   991,  3677,  1536,  2453,  1717,  3628,  3408,  1813,  2526,  3420,   797,  4197,  2444,   884
    47,  2644,  4141,  1428,  2787,   305,   119,  2221,    37,  1570,  1925,  1086,   527,  1652,  1801,  2855,  1818,  1629,  3913,  2039,  4289,  3454,  2263,  2160,   264,   341,  3218,  3622,  3369,    41,  4117,  2654,  1793,  2308,  1692,  3723,  3508,  3817,  2917,  2791,   684,   655,  3082,  4247,  1817,  2916,   889,   769,  2150,  2287
    48,  1060,   103,  3367,   104,  1271,  1153,   447,  2519,   829,  1166,  3829,   423,  1941,  3161,   637,   815,  3788,  1808,  3257,  1144,  1818,  2137,   124,  2843,  1965,  2353,  3497,  2877,  2516,  1828,  3410,  1530,  3031,  2565,   695,  1798,   399,  1022,  2388,  4134,     9,   614,  2315,   790,  2037,  2679,  4056,  3660,  4152
    49,  4284,  1923,  4293,   993,  3067,  3952,  3274,  2959,  3546,   452,  2131,   793,  3660,  3705,  2013,  3968,  2746,   250,   907,  1195,  2490,   765,  3575,  3729,  3688,  1468,  1625,  2704,  4010,   333,  2081,  1913,  1060,   296,   476,  2219,  2351,    80,  1556,  3054,  1232,  3656,   430,   464,   710,  2251,  1815,   559,  3711
    50,  1950,  2201,   609,  3058,  1746,  1717,   152,  4241,     2,  3907,  3799,  1760,  3541,   614,  3594,  3379,  2713,  2627,   985,  1688,  2368,  1527,  1987,  1428,  2144,   843,  2626,  1354,   176,  1943,   113,  1353,   606,   638,   828,   792,   553,  1330,  1579,  3775,  1611,  1098,   200,   830,  1850,  1109,  4154,  1610,  3500
    51,  1770,  1994,  3817,  2647,   259,  3742,  2253,  3197,  2299,  3232,   568,  1193,  2330,  1021,  3119,   506,  1299,  3972,   573,  1138,  1360,  2025,  1320,   241,  3614,  1698,   384,  3277,  3746,  1019,  1194,  1117,  2406,   275,  4175,  1047,  1704,  3712,  2898,   967,   803,  2780,  1059,  1542,  3779,  3982,  2263,  2120,  2072
    52,  1462,  3841,  3134,   602,  3741,  2792,   388,  3080,  3483,  2005,   939,  4304,  3222,  1153,  4002,   427,   658,   240,  1948,  3824,   350,   773,  2608,  1845,  3817,  1620,  2759,  2716,  2082,  2465,  3730,   265,  2461,  2340,  2605,  2179,  2220,   395,  2086,  1732,  1907,  2203,  3387,  1388,  3786,  1486,   301,  2261,  2839
    53,  1886,  3727,  2103,  2506,  1698,  2475,  3650,  3805,   170,   948,  2710,   808,   653,  1081,  4046,  4307,  1828,  1424,  3759,   163,  2209,    80,  4038,  3828,  3919,  1440,  3361,  2007,  2779,  3848,   465,   437,  3778,  3326,  3873,  2627,   711,   430,   897,  2286,   640,   827,   936,  2516,   535,  4026,  2634,  3338,  2996
    54,  2473,  3328,  3106,  2861,  3071,  3544,  1096,  2738,  2335,  1773,  3324,  2207,  2679,  1111,  1807,  2277,  3461,  2897,  1329,  3480,  3996,  1408,   460,  3036,  3259,   305,  3797,  3567,  3604,   520,  2347,  3453,  2296,  2783,   408,  2615,  1233,   453,   400,  1109,  1872,  1544,  3848,   571,  1557,  1686,  3514,  1385,  2762
    55,  4272,   647,  3256,   692,   131,  2296,  3209,  2775,   893,  4235,   758,  2727,    20,   859,  1637,   790,  1715,  1069,  2655,  2220,  3507,   909,  2819,  1830,   660,   419,  3426,  2664,  2096,  3032,  2056,  2478,  3063,  1499,  4072,  1428,  2423,   295,  2193,  2383,  2778,  3916,   363,  2708,  2122,  2365,  4049,  2615,  2057
    56,   900,  1836,  1559,  1796,  3983,  3686,   284,  1192,   661,  3807,   710,  3580,  2622,  3930,  4124,  3399,    85,  2963,   791,  1069,  4117,  2770,   594,  2936,  4124,   544,  1214,  4085,  1332,   589,  2037,  3050,  1541,  1607,   150,  3142,  1410,  1712,  3805,  1163,  1970,   541,   404,   633,   774,  2490,  2806,  1347,  3814
    57,  1885,  2948,  3387,   857,  2852,    59,  2712,  1780,   332,  3016,  2457,  2002,   665,   433,   682,  3294,  2156,   833,  3892,  1615,  2482,  3664,   615,  2952,   253,   287,  3317,    19,  1540,  2372,  2126,  4292,   441,  4037,  1554,   121,  3661,  1687,  1734,  1979,  2848,    92,  2789,   460,  1165,  2355,  1002,  3362,  3685
    58,  3861,  1139,  2459,  2396,  2378,  1580,  1656,  2583,  2487,   674,  2416,  3739,   564,  3754,   101,   262,    87,  4079,  3305,  2144,  4133,  2980,  1618,   402,  2447,   231,  2253,  3074,  2735,   422,  2597,   408,    58,  3230,   846,  3054,  1787,  1919,  2213,  3833,  1208,   804,  1966,  1246,  3183,  3766,   292,  4056,  1485
    59,  2579,   471,   350,  3937,  3275,  2898,  1142,   703,  3548,  2457,  2434,  3867,  3198,  2960,   224,  2111,  1165,  1653,  1708,  1284,   850,  1030,  1174,  3565,  1250,  3053,   241,   623,  1859,   485,  1013,  1827,  1445,  1363,  2684,  2973,  2498,   305,  1443,  2013,  2298,   117,  3342,  1693,   728,   987,   964,  1695,  2953
    60,   282,  1292,  3965,  2941,  3924,  2754,  2120,  1178,  1572,   283,  1287,  1515,  1200,  1849,    11,  2197,  3855,  1023,  3531,  2567,   144,   483,  3598,  2972,  3762,  1429,  2553,   406,   368,  2827,  3419,  4093,  3522,  2822,  3876,  1658,  3936,  2348,  1519,  4002,  1112,  4284,  3756,  3879,  4214,   355,   573,  3023,     8
    61,   445,   541,   824,  2116,  4094,   996,  2447,  4273,  2802,   581,  3786,  2755,  1471,   862,  3929,  1876,  2510,   120,  3251,  1178,   269,  3136,  3965,   610,  2426,   708,  1774,  1652,  1257,  1120,  4284,   767,    10,   758,  1949,  1068,  2145,  2670,  1001,  3889,  1650,  3995,  2559,  3196,  3583,    59,  2528,  4262,  3144
    62,  2337,   879,  1965,   999,   684,  2303,  3813,  1167,   909,  2740,    78,  1578,  3958,   734,  2502,  3620,  3729,    69,  1309,  2815,  1179,  2935,  2743,  2279,  1459,  1799,  3785,   555,  3567,  2886,  1809,  1996,  2973,   908,  1614,  4190,  3483,   292,  3677,  3563,  4106,  2539,   120,   135,   740,   969,  4305,   935,   847
    63,  2424,  3704,   612,  1954,   170,  2936,  1211,  3332,  1035,  3343,  4147,  2765,  3047,  2529,   313,   769,  2798,  2582,  3435,  3761,  2758,  3994,  2313,  2046,  3810,  1081,  3845,   751,  2861,  3562,  4038,  2355,  2011,   629,  2787,  1462,  1661,  2271,  1457,   517,  3767,  2943,  1327,   132,  3806,  4118,  1187,  3158,   911
    64,  1733,   929,  1394,  1678,  3989,  4067,  4169,  4036,  2049,   393,  3472,  1640,   286,  1165,  2321,  3223,  2834,  1357,  2622,  2705,  3292,  3126,   322,  3135,  1979,  1833,  2240,  1672,  1679,  1938,  2298,  3767,   872,  3441,  1971,  2044,  2991,  2819,   296,   536,   135,  2915,  2521,   773,  3861,   911,  2900,  3786,  3245
    65,   365,   975,   534,  3613,   371,   682,    35,  2329,     8,  4146,  1044,  3760,  3258,  2931,  2924,  2360,   349,  3380,  3566,  2023,  1463,  3151,  3887,  1384,  3085,  3422,  1360,   844,  3745,  1208,   536,  1478,  1446,  4205,   194,  2038,  3497,   958,  1220,  3533,  2609,  2511,  1475,  3554,  3494,  1839,  3260,   129,  4267
    66,  2196,  2351,  1515,  3772,  2545,   646,  3352,  3867,  2709,  3033,  3266,  2361,  1213,   327,   542,  3882,  2333,  2457,  1605,  4265,  2328,  2417,  4269,  1868,  3457,  3630,  3915,  4271,  2328,  1341,  3716,  1440,  3126,  3069,   437,  2242,  4185,  1562,  3456,   446,  1754,  3900,  3312,  4049,  4072,  3522,   363,  1183,    88
    67,    35,   555,  3757,   514,  2684,  3732,  1930,  2997,   559,  3074,   985,  2975,  1164,  1207,  3092,  2629,  3502,  1203,  1609,  3946,  2615,  2031,  2527,  1837,  3100,   491,  2864,   530,   471,  2036,  2242,  2346,  3930,  1502,  1697,  1256,   515,  4109,  3788,   841,  3675,  3196,  1158,  2380,  3722,  3455,  3977,  1514,  1235
    68,  4052,  4182,  3472,  3155,  1738,  1608,  2821,  1886,   918,  2279,   885,    22,  1597,   483,  3893,  1516,  2083,  3292,  1656,   482,  2699,  3360,  4261,  3512,   983,   211,  1528,  1087,  3689,  4234,   478,  2905,  2794,  3161,  2098,   137,  2655,  1232,   711,  2959,  1626,  3280,  1499,    42,  2240,  3730,  2131,   443,  2909
    69,   286,  3096,   495,  2990,  2205,  4154,    72,  1583,  3989,  1363,   787,  1201,  2035,  2126,   189,  2694,  2640,  3978,  2679,  2953,  1774,  1006,  2988,  4006,  3828,  2413,  1523,  3623,   300,  3489,  1936,  2778,  1860,   585,  3379,  3799,  3962,  4232,   446,  2891,  1560,  2919,  3013,  1652,   308,  2507,  2264,  2082,  2487
    70,  2754,  1192,  2059,  1208,   358,  2137,  3579,  1061,  3190,  4122,  1063,  1750,    33,  1303,  2881,   773,  1696,  3261,  1495,  3606,   764,   731,  1526,  3482,   417,  2674,  3985,  3475,  1125,   336,   886,  2615,  2551,  1319,  3790,  3460,  3998,  1595,  3704,  3406,  2967,  3051,  1667,     4,  3649,  2702,  4282,  1743,  3344
